Giorno;00:00-00:15;00:15-00:30;00:30-00:45;00:45-01:00;01:00-01:15;01:15-01:30;01:30-01:45;01:45-02:00;02:00-02:15;02:15-02:30;02:30-02:45;02:45-03:00;03:00-03:15;03:15-03:30;03:30-03:45;03:45-04:00;04:00-04:15;04:15-04:30;04:30-04:45;04:45-05:00;05:00-05:15;05:15-05:30;05:30-05:45;05:45-06:00;06:00-06:15;06:15-06:30;06:30-06:45;06:45-07:00;07:00-07:15;07:15-07:30;07:30-07:45;07:45-08:00;08:00-08:15;08:15-08:30;08:30-08:45;08:45-09:00;09:00-09:15;09:15-09:30;09:30-09:45;09:45-10:00;10:00-10:15;10:15-10:30;10:30-10:45;10:45-11:00;11:00-11:15;11:15-11:30;11:30-11:45;11:45-12:00;12:00-12:15;12:15-12:30;12:30-12:45;12:45-13:00;13:00-13:15;13:15-13:30;13:30-13:45;13:45-14:00;14:00-14:15;14:15-14:30;14:30-14:45;14:45-15:00;15:00-15:15;15:15-15:30;15:30-15:45;15:45-16:00;16:00-16:15;16:15-16:30;16:30-16:45;16:45-17:00;17:00-17:15;17:15-17:30;17:30-17:45;17:45-18:00;18:00-18:15;18:15-18:30;18:30-18:45;18:45-19:00;19:00-19:15;19:15-19:30;19:30-19:45;19:45-20:00;20:00-20:15;20:15-20:30;20:30-20:45;20:45-21:00;21:00-21:15;21:15-21:30;21:30-21:45;21:45-22:00;22:00-22:15;22:15-22:30;22:30-22:45;22:45-23:00;23:00-23:15;23:15-23:30;23:30-23:45;23:45-00:00
01/08/2025 00:00;0.189;0.199;0.200;0.131;0.156;0.315;0.169;0.073;0.037;0.035;0.037;0.052;0.043;0.024;0.024;0.023;0.024;0.023;0.024;0.023;0.018;0.018;0.019;0.019;0.018;0.029;0.026;0.015;0.009;0.016;0.024;0.048;0.054;0.016;0.019;0.032;0.078;0.097;0.036;0.110;0.156;0.359;0.184;0.105;0.135;0.093;0.064;0.103;0.061;0.042;0.053;0.066;0.063;0.087;0.061;0.078;0.120;0.081;0.094;0.072;0.083;0.129;0.192;0.179;0.102;0.040;0.166;0.243;0.139;0.110;0.090;0.127;0.112;0.105;0.093;0.103;0.204;0.354;0.281;0.118;0.029;0.028;0.028;0.024;0.008;0.018;0.029;0.028;0.027;0.015;0.008;0.016;0.017;0.017;0.031;0.087
02/08/2025 00:00;0.154;0.127;0.127;0.100;0.101;0.118;0.102;0.031;0.057;0.047;0.038;0.036;0.036;0.033;0.018;0.022;0.035;0.035;0.031;0.014;0.015;0.018;0.019;0.018;0.018;0.016;0.017;0.016;0.016;0.016;0.042;0.034;0.057;0.076;0.134;0.200;0.122;0.149;0.032;0.080;0.071;0.135;0.142;0.101;0.149;0.088;0.072;0.086;0.080;0.111;0.125;0.185;0.101;0.131;0.127;0.121;0.190;0.240;0.175;0.131;0.172;0.416;0.429;0.479;0.448;0.490;0.420;0.360;0.350;0.400;0.472;0.491;0.264;0.246;0.194;0.198;0.157;0.260;0.259;0.156;0.221;0.256;0.097;0.077;0.097;0.097;0.093;0.109;0.095;0.079;0.058;0.065;0.068;0.096;0.063;0.094
03/08/2025 00:00;0.079;0.052;0.088;0.108;0.157;0.173;0.077;0.186;0.129;0.108;0.035;0.036;0.036;0.037;0.052;0.088;0.044;0.040;0.039;0.038;0.034;0.024;0.012;0.029;0.032;0.055;0.036;0.021;0.014;0.043;0.046;0.048;0.031;0.057;0.073;0.098;0.080;0.052;0.065;0.092;0.040;0.090;0.046;0.056;0.028;0.103;0.093;0.100;0.122;0.105;0.112;0.118;0.103;0.104;0.105;0.111;0.065;0.104;0.127;0.360;0.338;0.369;0.269;0.316;0.291;0.286;0.310;0.409;0.438;0.389;0.483;0.388;0.626;0.365;0.561;0.793;0.438;0.256;0.258;0.128;0.027;0.010;0.021;0.029;0.029;0.028;0.013;0.012;0.017;0.044;0.041;0.017;0.019;0.018;0.018;0.018
04/08/2025 00:00;0.026;0.167;0.157;0.130;0.237;0.240;0.245;0.252;0.097;0.035;0.059;0.029;0.032;0.023;0.008;0.019;0.028;0.033;0.018;0.021;0.026;0.026;0.028;0.054;0.040;0.027;0.026;0.027;0.026;0.049;0.072;0.127;0.085;0.083;0.044;0.019;0.051;0.059;0.036;0.038;0.012;0.019;0.021;0.037;0.068;0.049;0.061;0.065;0.064;0.111;0.242;0.081;0.113;0.328;0.291;0.249;0.237;0.183;0.208;0.227;0.241;0.238;0.234;0.155;0.157;0.165;0.168;0.252;0.339;0.179;0.130;0.102;0.124;0.072;0.072;0.062;0.057;0.175;0.135;0.082;0.078;0.157;0.234;0.268;0.102;0.090;0.086;0.086;0.070;0.099;0.113;0.132;0.161;0.216;0.124;0.081
05/08/2025 00:00;0.090;0.124;0.240;0.147;0.165;0.150;0.110;0.092;0.068;0.100;0.078;0.078;0.060;0.037;0.021;0.020;0.077;0.111;0.040;0.029;0.029;0.055;0.057;0.028;0.029;0.029;0.028;0.028;0.097;0.097;0.094;0.030;0.029;0.014;0.025;0.032;0.030;0.038;0.073;0.042;0.073;0.213;0.176;0.133;0.044;0.039;0.068;0.063;0.088;0.093;0.110;0.120;0.233;0.311;0.312;0.320;0.263;0.216;0.252;0.259;0.268;0.256;0.220;0.246;0.388;0.251;0.284;0.277;0.155;0.116;0.136;0.227;0.199;0.331;0.299;0.334;0.318;0.197;0.235;0.136;0.223;0.754;0.691;0.196;0.061;0.062;0.058;0.064;0.071;0.076;0.069;0.084;0.072;0.125;0.074;0.227
06/08/2025 00:00;0.106;0.055;0.042;0.077;0.071;0.283;0.256;0.186;0.205;0.182;0.166;0.166;0.105;0.050;0.071;0.032;0.033;0.032;0.031;0.024;0.011;0.031;0.073;0.054;0.041;0.027;0.031;0.044;0.043;0.074;0.066;0.084;0.043;0.141;0.106;0.049;0.026;0.094;0.046;0.023;0.023;0.023;0.022;0.024;0.100;0.068;0.125;0.295;0.145;0.083;0.057;0.054;0.071;0.074;0.070;0.079;0.261;0.358;0.374;0.314;0.327;0.341;0.301;0.325;0.395;0.265;0.241;0.116;0.059;0.055;0.067;0.094;0.069;0.048;0.149;0.230;0.089;0.325;0.295;0.264;0.112;0.063;0.054;0.041;0.070;0.060;0.058;0.062;0.060;0.061;0.054;0.060;0.056;0.070;0.062;0.055
07/08/2025 00:00;0.027;0.068;0.055;0.052;0.037;0.164;0.186;0.063;0.038;0.034;0.189;0.192;0.050;0.014;0.032;0.034;0.031;0.013;0.016;0.021;0.022;0.022;0.021;0.020;0.020;0.020;0.019;0.020;0.019;0.019;0.023;0.065;0.013;0.021;0.021;0.068;0.081;0.054;0.417;0.157;0.567;0.196;0.086;0.411;0.238;0.061;0.059;0.024;0.023;0.079;0.095;0.159;0.117;0.245;0.406;0.305;0.535;0.508;0.626;0.411;0.402;0.362;0.308;0.086;0.022;0.012;0.028;0.032;0.034;0.048;0.041;0.023;0.022;0.051;0.028;0.171;0.151;0.090;0.090;0.178;0.343;0.034;0.033;0.031;0.030;0.013;0.024;0.032;0.032;0.024;0.013;0.031;0.188;0.021;0.021;0.027
08/08/2025 00:00;0.031;0.032;0.032;0.039;0.033;0.116;0.116;0.173;0.213;0.294;0.179;0.098;0.026;0.031;0.057;0.056;0.038;0.036;0.035;0.023;0.020;0.036;0.037;0.034;0.022;0.017;0.024;0.030;0.030;0.027;0.021;0.073;0.182;0.133;0.092;0.087;0.035;0.072;0.166;0.251;0.143;0.097;0.059;0.036;0.048;0.023;0.021;0.021;0.027;0.035;0.080;0.312;0.435;0.496;0.419;0.411;0.331;0.106;0.139;0.360;0.355;0.385;0.372;0.360;0.351;0.354;0.364;0.376;0.351;0.103;0.114;0.170;0.064;0.021;0.022;0.022;0.021;0.021;0.021;0.020;0.021;0.029;0.047;0.072;0.061;0.063;0.068;0.073;0.082;0.083;0.109;0.137;0.137;0.147;0.162;0.099
09/08/2025 00:00;0.073;0.064;0.089;0.114;0.241;0.271;0.179;0.153;0.069;0.041;0.040;0.145;0.111;0.049;0.046;0.048;0.041;0.034;0.024;0.039;0.042;0.164;0.164;0.145;0.154;0.153;0.140;0.032;0.029;0.030;0.032;0.029;0.030;0.056;0.032;0.055;0.039;0.085;0.054;0.108;0.053;0.097;0.086;0.107;0.136;0.230;0.247;0.396;0.431;0.452;0.417;0.410;0.471;0.491;0.518;0.516;0.478;0.388;0.416;0.371;0.358;0.388;0.389;0.356;0.344;0.282;0.101;0.122;0.105;0.122;0.124;0.375;0.458;0.343;0.342;0.360;0.351;0.401;0.360;0.304;0.175;0.145;0.093;0.276;0.258;0.099;0.132;0.157;0.136;0.110;0.117;0.135;0.147;0.242;0.253;0.244
10/08/2025 00:00;0.220;0.240;0.293;0.384;0.298;0.271;0.143;0.195;0.210;0.116;0.060;0.091;0.148;0.098;0.230;0.245;0.186;0.024;0.036;0.036;0.036;0.020;0.018;0.025;0.025;0.024;0.025;0.025;0.025;0.026;0.025;0.024;0.025;0.049;0.044;0.025;0.046;0.065;0.121;0.084;0.198;0.108;0.115;0.179;0.265;0.165;0.127;0.126;0.151;0.203;0.168;0.144;0.263;0.231;0.112;0.156;0.146;0.172;0.199;0.289;0.432;0.413;0.365;0.456;0.385;0.328;0.328;0.355;0.402;0.556;0.582;0.471;0.459;0.375;0.478;0.383;0.370;0.348;0.138;0.028;0.017;0.009;0.027;0.028;0.027;0.015;0.010;0.029;0.028;0.013;0.008;0.025;0.070;0.069;0.225;0.273
