Giorno;00:00-00:15;00:15-00:30;00:30-00:45;00:45-01:00;01:00-01:15;01:15-01:30;01:30-01:45;01:45-02:00;02:00-02:15;02:15-02:30;02:30-02:45;02:45-03:00;03:00-03:15;03:15-03:30;03:30-03:45;03:45-04:00;04:00-04:15;04:15-04:30;04:30-04:45;04:45-05:00;05:00-05:15;05:15-05:30;05:30-05:45;05:45-06:00;06:00-06:15;06:15-06:30;06:30-06:45;06:45-07:00;07:00-07:15;07:15-07:30;07:30-07:45;07:45-08:00;08:00-08:15;08:15-08:30;08:30-08:45;08:45-09:00;09:00-09:15;09:15-09:30;09:30-09:45;09:45-10:00;10:00-10:15;10:15-10:30;10:30-10:45;10:45-11:00;11:00-11:15;11:15-11:30;11:30-11:45;11:45-12:00;12:00-12:15;12:15-12:30;12:30-12:45;12:45-13:00;13:00-13:15;13:15-13:30;13:30-13:45;13:45-14:00;14:00-14:15;14:15-14:30;14:30-14:45;14:45-15:00;15:00-15:15;15:15-15:30;15:30-15:45;15:45-16:00;16:00-16:15;16:15-16:30;16:30-16:45;16:45-17:00;17:00-17:15;17:15-17:30;17:30-17:45;17:45-18:00;18:00-18:15;18:15-18:30;18:30-18:45;18:45-19:00;19:00-19:15;19:15-19:30;19:30-19:45;19:45-20:00;20:00-20:15;20:15-20:30;20:30-20:45;20:45-21:00;21:00-21:15;21:15-21:30;21:30-21:45;21:45-22:00;22:00-22:15;22:15-22:30;22:30-22:45;22:45-23:00;23:00-23:15;23:15-23:30;23:30-23:45;23:45-00:00
11/08/2025 00:00;0.285;0.290;0.261;0.164;0.221;0.115;0.092;0.143;0.163;0.132;0.021;0.060;0.041;0.041;0.202;0.118;0.077;0.041;0.039;0.024;0.016;0.032;0.044;0.043;0.023;0.081;0.162;0.133;0.030;0.016;0.027;0.037;0.036;0.025;0.121;0.180;0.103;0.200;0.424;0.595;0.384;0.148;0.387;0.371;0.222;0.251;0.196;0.222;0.175;0.111;0.044;0.153;0.387;0.387;0.362;0.377;0.480;0.482;0.380;0.377;0.423;0.381;0.387;0.473;0.419;0.467;0.254;0.048;0.049;0.070;0.087;0.115;0.147;0.066;0.134;0.283;0.266;0.256;0.244;0.299;0.233;0.211;0.234;0.153;0.337;0.359;0.352;0.353;0.259;0.248;0.385;0.244;0.264;0.294;0.330;0.306
12/08/2025 00:00;0.319;0.262;0.266;0.255;0.166;0.086;0.092;0.248;0.155;0.109;0.083;0.098;0.198;0.056;0.037;0.037;0.037;0.057;0.215;0.164;0.113;0.068;0.045;0.039;0.020;0.048;0.124;0.079;0.071;0.167;0.064;0.049;0.034;0.034;0.065;0.045;0.079;0.059;0.048;0.062;0.161;0.200;0.046;0.073;0.107;0.123;0.154;0.172;0.388;0.429;0.454;0.436;0.415;0.437;0.417;0.451;0.437;0.405;0.418;0.440;0.443;0.402;0.489;0.393;0.329;0.338;0.317;0.216;0.192;0.308;0.398;0.477;0.376;0.167;0.028;0.010;0.010;0.028;0.028;0.028;0.025;0.008;0.012;0.028;0.028;0.041;0.045;0.198;0.280;0.303;0.326;0.233;0.178;0.217;0.156;0.160
13/08/2025 00:00;0.181;0.147;0.055;0.144;0.025;0.019;0.039;0.040;0.039;0.028;0.016;0.018;0.025;0.082;0.148;0.151;0.134;0.210;0.297;0.296;0.181;0.229;0.228;0.241;0.210;0.073;0.026;0.026;0.098;0.395;0.171;0.109;0.100;0.059;0.100;0.061;0.044;0.055;0.110;0.110;0.092;0.134;0.087;0.113;0.087;0.162;0.124;0.086;0.117;0.380;0.401;0.461;0.400;0.383;0.385;0.373;0.372;0.451;0.444;0.502;0.438;0.425;0.452;0.479;0.388;0.402;0.415;0.393;0.404;0.428;0.534;0.500;0.407;0.411;0.447;0.403;0.366;0.399;0.365;0.318;0.304;0.260;0.093;0.083;0.077;0.077;0.068;0.045;0.042;0.042;0.042;0.041;0.055;0.100;0.029;0.045
14/08/2025 00:00;0.048;0.100;0.204;0.176;0.149;0.194;0.300;0.238;0.223;0.184;0.145;0.152;0.171;0.172;0.165;0.146;0.148;0.167;0.187;0.162;0.159;0.162;0.085;0.131;0.077;0.039;0.037;0.037;0.020;0.029;0.040;0.039;0.066;0.090;0.053;0.056;0.076;0.044;0.033;0.051;0.049;0.045;0.045;0.045;0.086;0.080;0.110;0.141;0.148;0.092;0.275;0.445;0.382;0.396;0.406;0.374;0.463;0.432;0.391;0.569;0.498;0.806;0.544;0.388;0.580;0.588;0.260;0.251;0.281;0.302;0.298;0.297;0.291;0.299;0.406;0.314;0.240;0.304;0.359;0.269;0.159;0.180;0.188;0.252;0.264;0.249;0.186;0.144;0.143;0.156;0.145;0.151;0.158;0.149;0.125;0.408
15/08/2025 00:00;0.395;0.343;0.369;0.351;0.336;0.304;0.231;0.240;0.249;0.120;0.164;0.092;0.111;0.217;0.085;0.036;0.035;0.029;0.016;0.037;0.037;0.036;0.056;0.161;0.148;0.142;0.158;0.160;0.161;0.149;0.045;0.022;0.024;0.024;0.025;0.024;0.023;0.024;0.026;0.087;0.037;0.033;0.062;0.076;0.056;0.067;0.288;0.240;0.175;0.129;0.217;0.298;0.602;0.433;0.360;0.206;0.018;0.015;0.032;0.031;0.030;0.026;0.013;0.016;0.020;0.020;0.021;0.020;0.020;0.020;0.021;0.031;0.095;0.303;0.297;0.284;0.235;0.226;0.225;0.246;0.124;0.032;0.029;0.030;0.029;0.016;0.014;0.041;0.109;0.084;0.103;0.158;0.161;0.093;0.100;0.043
16/08/2025 00:00;0.058;0.040;0.019;0.024;0.047;0.074;0.154;0.106;0.031;0.031;0.076;0.031;0.039;0.054;0.046;0.040;0.040;0.067;0.034;0.130;0.144;0.305;0.232;0.158;0.143;0.146;0.151;0.151;0.152;0.150;0.154;0.179;0.145;0.190;0.141;0.244;0.220;0.210;0.170;0.248;0.243;0.226;0.206;0.195;0.094;0.184;0.134;0.095;0.100;0.035;0.051;0.106;0.121;0.137;0.156;0.113;0.075;0.074;0.046;0.047;0.036;0.033;0.039;0.027;0.019;0.041;0.057;0.045;0.049;0.050;0.069;0.049;0.080;0.076;0.036;0.068;0.062;0.060;0.056;0.058;0.055;0.084;0.237;0.262;0.250;0.192;0.170;0.155;0.155;0.146;0.161;0.321;0.130;0.176;0.194;0.202
17/08/2025 00:00;0.173;0.158;0.165;0.212;0.136;0.113;0.106;0.105;0.100;0.057;0.059;0.065;0.039;0.032;0.020;0.035;0.039;0.038;0.026;0.023;0.027;0.049;0.031;0.057;0.028;0.027;0.027;0.027;0.027;0.027;0.027;0.027;0.056;0.064;0.194;0.125;0.147;0.078;0.033;0.050;0.038;0.185;0.096;0.023;0.022;0.024;0.022;0.044;0.032;0.042;0.100;0.073;0.083;0.101;0.121;0.099;0.104;0.135;0.408;0.240;0.101;0.144;0.108;0.163;0.287;0.257;0.249;0.242;0.237;0.231;0.225;0.348;0.729;0.583;0.741;0.372;0.532;0.683;0.042;0.037;0.045;0.018;0.013;0.020;0.020;0.020;0.023;0.020;0.026;0.068;0.064;0.207;0.131;0.058;0.082;0.092
18/08/2025 00:00;0.151;0.142;0.163;0.168;0.172;0.048;0.036;0.039;0.039;0.031;0.076;0.250;0.335;0.341;0.289;0.294;0.276;0.223;0.210;0.205;0.209;0.204;0.233;0.205;0.206;0.202;0.201;0.249;0.230;0.204;0.205;0.195;0.081;0.131;0.105;0.110;0.136;0.092;0.090;0.059;0.041;0.024;0.084;0.164;0.167;0.114;0.162;0.154;0.065;0.078;0.163;0.184;0.108;0.166;0.123;0.120;0.232;0.174;0.168;0.090;0.079;0.158;0.101;0.077;0.360;0.457;0.405;0.359;0.353;0.373;0.417;0.314;0.350;0.256;0.296;0.342;0.297;0.312;0.303;0.353;0.346;0.398;0.380;0.295;0.288;0.341;0.340;0.449;0.322;0.277;0.380;0.235;0.202;0.075;0.130;0.149
19/08/2025 00:00;0.203;0.272;0.260;0.236;0.326;0.301;0.201;0.067;0.066;0.147;0.116;0.030;0.015;0.021;0.141;0.250;0.175;0.076;0.028;0.031;0.056;0.029;0.027;0.030;0.026;0.088;0.080;0.080;0.072;0.104;0.060;0.022;0.022;0.025;0.115;0.063;0.127;0.054;0.043;0.036;0.030;0.033;0.016;0.014;0.037;0.080;0.070;0.087;0.059;0.054;0.070;0.063;0.086;0.068;0.092;0.156;0.376;0.413;0.306;0.268;0.400;0.440;0.446;0.451;0.435;0.418;0.428;0.348;0.397;0.494;0.401;0.388;0.361;0.356;0.344;0.369;0.802;0.655;0.501;0.309;0.303;0.296;0.304;0.296;0.287;0.315;0.284;0.132;0.080;0.085;0.183;0.205;0.207;0.226;0.171;0.215
20/08/2025 00:00;0.218;0.386;0.176;0.533;0.188;0.199;0.551;0.239;0.109;0.114;0.175;0.249;0.300;0.295;0.217;0.241;0.181;0.195;0.097;0.180;0.091;0.037;0.035;0.030;0.016;0.030;0.037;0.035;0.028;0.016;0.073;0.170;0.063;0.065;0.044;0.029;0.030;0.082;0.046;0.067;0.059;0.082;0.096;0.076;0.145;0.096;0.128;0.093;0.116;0.080;0.137;0.109;0.111;0.159;0.191;0.469;0.564;0.480;0.481;0.465;0.465;0.498;0.462;0.533;0.454;0.506;0.500;0.445;0.494;0.454;0.452;0.482;0.514;0.263;0.084;0.170;0.160;0.155;0.104;0.063;0.082;0.076;0.076;0.076;0.101;0.105;0.241;0.069;0.066;0.065;0.065;0.169;0.127;0.059;0.056;0.063
21/08/2025 00:00;0.073;0.070;0.085;0.096;0.077;0.216;0.180;0.181;0.180;0.189;0.192;0.168;0.162;0.163;0.165;0.215;0.395;0.239;0.210;0.102;0.037;0.025;0.027;0.043;0.046;0.034;0.019;0.028;0.067;0.089;0.168;0.059;0.063;0.171;0.162;0.087;0.040;0.074;0.054;0.147;0.062;0.068;0.108;0.163;0.172;0.120;0.140;0.144;0.183;0.197;0.158;0.353;0.155;0.117;0.228;0.223;0.433;0.427;0.442;0.450;0.464;0.442;0.442;0.425;0.433;0.422;0.406;0.254;0.198;0.210;0.240;0.246;0.230;0.240;0.241;0.235;0.221;0.216;0.278;0.310;0.218;0.227;0.220;0.312;0.318;0.373;0.325;0.317;0.357;0.343;0.393;0.415;0.338;0.319;0.277;0.344
22/08/2025 00:00;0.657;0.450;0.159;0.518;0.706;0.219;0.179;0.210;0.106;0.054;0.082;0.041;0.044;0.040;0.048;0.077;0.056;0.108;0.163;0.161;0.159;0.122;0.017;0.031;0.041;0.040;0.039;0.031;0.016;0.026;0.038;0.063;0.050;0.053;0.080;0.143;0.086;0.083;0.047;0.052;0.110;0.049;0.050;0.047;0.038;0.029;0.077;0.089;0.137;0.108;0.137;0.085;0.224;0.259;0.265;0.347;0.360;0.491;0.505;0.380;0.292;0.302;0.293;0.299;0.311;0.068;0.049;0.048;0.047;0.055;0.083;0.129;0.036;0.053;0.037;0.046;0.057;0.046;0.042;0.043;0.049;0.063;0.126;0.041;0.041;0.042;0.023;0.029;0.091;0.274;0.272;0.325;0.336;0.333;0.340;0.325
23/08/2025 00:00;0.310;0.286;0.261;0.421;0.248;0.193;0.183;0.264;0.392;0.162;0.152;0.139;0.080;0.089;0.045;0.043;0.040;0.033;0.040;0.090;0.037;0.037;0.035;0.025;0.019;0.025;0.026;0.026;0.049;0.044;0.026;0.025;0.026;0.025;0.025;0.052;0.046;0.045;0.073;0.075;0.103;0.165;0.231;0.111;0.051;0.084;0.196;0.037;0.170;0.077;0.121;0.160;0.208;0.182;0.307;0.219;0.368;0.329;0.360;0.379;0.344;0.358;0.356;0.374;0.356;0.338;0.269;0.270;0.329;0.286;0.328;0.284;0.363;0.320;0.258;0.252;0.368;0.422;0.200;0.169;0.164;0.258;0.499;0.475;0.216;0.101;0.075;0.081;0.080;0.077;0.048;0.048;0.150;0.088;0.047;0.053
24/08/2025 00:00;0.083;0.087;0.078;0.072;0.042;0.041;0.040;0.038;0.027;0.061;0.207;0.300;0.390;0.334;0.244;0.089;0.067;0.078;0.056;0.051;0.030;0.029;0.029;0.031;0.028;0.029;0.031;0.028;0.028;0.031;0.056;0.053;0.039;0.043;0.039;0.065;0.053;0.051;0.054;0.081;0.054;0.036;0.059;0.076;0.080;0.113;0.140;0.067;0.059;0.085;0.058;0.128;0.129;0.149;0.152;0.169;0.230;0.183;0.115;0.319;0.394;0.383;0.492;0.715;0.312;0.371;0.690;0.521;0.287;0.279;0.155;0.077;0.123;0.142;0.120;0.332;0.366;0.098;0.090;0.051;0.025;0.020;0.018;0.019;0.017;0.018;0.017;0.017;0.018;0.017;0.017;0.059;0.161;0.096;0.108;0.135
25/08/2025 00:00;0.104;0.115;0.124;0.107;0.115;0.121;0.116;0.077;0.049;0.029;0.016;0.028;0.039;0.044;0.022;0.017;0.037;0.048;0.036;0.031;0.027;0.022;0.009;0.020;0.029;0.027;0.015;0.009;0.017;0.016;0.017;0.017;0.025;0.077;0.059;0.073;0.156;0.156;0.136;0.078;0.078;0.043;0.041;0.103;0.080;0.052;0.074;0.080;0.066;0.090;0.120;0.144;0.164;0.156;0.141;0.139;0.109;0.214;0.273;0.127;0.056;0.077;0.258;0.254;0.328;0.329;0.262;0.268;0.274;0.301;0.302;0.288;0.296;0.307;0.319;0.304;0.318;0.201;0.104;0.200;0.071;0.099;0.122;0.084;0.081;0.132;0.084;0.217;0.146;0.098;0.111;0.119;0.103;0.105;0.104;0.084
26/08/2025 00:00;0.080;0.168;0.113;0.196;0.157;0.079;0.075;0.115;0.123;0.136;0.101;0.149;0.148;0.042;0.036;0.038;0.037;0.036;0.036;0.033;0.019;0.018;0.036;0.035;0.033;0.017;0.056;0.139;0.148;0.065;0.068;0.069;0.021;0.016;0.016;0.016;0.016;0.016;0.046;0.035;0.180;0.045;0.055;0.044;0.070;0.039;0.049;0.053;0.043;0.099;0.081;0.095;0.136;0.195;0.201;0.184;0.235;0.290;0.155;0.158;0.142;0.094;0.220;0.328;0.301;0.310;0.297;0.275;0.281;0.337;0.299;0.173;0.295;0.407;0.358;0.275;0.250;0.213;0.236;0.220;0.214;0.181;0.183;0.293;0.308;0.246;0.203;0.188;0.191;0.122;0.083;0.076;0.071;0.063;0.068;0.117
27/08/2025 00:00;0.138;0.194;0.152;0.162;0.181;0.344;0.258;0.281;0.274;0.224;0.212;0.296;0.166;0.247;0.100;0.030;0.028;0.030;0.027;0.030;0.027;0.027;0.030;0.027;0.027;0.030;0.029;0.080;0.155;0.168;0.057;0.081;0.057;0.028;0.018;0.094;0.122;0.131;0.040;0.134;0.124;0.035;0.029;0.019;0.040;0.057;0.067;0.049;0.064;0.069;0.088;0.101;0.087;0.181;0.100;0.326;0.499;0.433;0.468;0.494;0.494;0.695;0.814;0.469;0.544;0.803;0.516;0.411;0.422;0.396;0.423;0.384;0.397;0.571;0.588;0.576;0.472;0.425;0.344;0.498;0.347;0.328;0.469;0.555;0.496;0.409;0.411;0.425;0.354;0.243;0.127;0.132;0.138;0.139;0.152;0.162
28/08/2025 00:00;0.260;0.317;0.257;0.244;0.228;0.260;0.359;0.284;0.204;0.211;0.234;0.211;0.191;0.249;0.063;0.065;0.050;0.142;0.043;0.028;0.060;0.031;0.028;0.031;0.027;0.031;0.057;0.031;0.030;0.044;0.040;0.115;0.160;0.128;0.054;0.060;0.061;0.055;0.046;0.106;0.095;0.151;0.100;0.084;0.084;0.117;0.079;0.082;0.075;0.090;0.164;0.365;0.456;0.424;0.449;0.472;0.475;0.557;0.470;0.400;0.504;0.375;0.418;0.395;0.396;0.390;0.385;0.384;0.396;0.382;0.412;0.409;0.395;0.381;0.389;0.312;0.087;0.067;0.077;0.042;0.041;0.046;0.046;0.064;0.385;0.491;0.500;0.370;0.374;0.341;0.336;0.363;0.368;0.378;0.338;0.292
29/08/2025 00:00;0.285;0.282;0.311;0.283;0.301;0.342;0.273;0.266;0.256;0.242;0.447;0.337;0.460;0.430;0.528;0.196;0.215;0.209;0.184;0.083;0.045;0.041;0.042;0.043;0.045;0.032;0.020;0.044;0.046;0.062;0.020;0.091;0.088;0.087;0.261;0.082;0.041;0.055;0.049;0.046;0.119;0.097;0.184;0.087;0.029;0.022;0.043;0.056;0.086;0.065;0.077;0.099;0.150;0.154;0.391;0.578;0.462;0.450;0.450;0.545;0.499;0.389;0.457;0.399;0.383;0.418;0.371;0.329;0.362;0.346;0.330;0.326;0.308;0.308;0.114;0.550;0.441;0.344;0.419;0.333;0.207;0.165;0.187;0.532;0.419;0.079;0.068;0.075;0.061;0.043;0.062;0.075;0.078;0.078;0.076;0.079
30/08/2025 00:00;0.075;0.153;0.127;0.124;0.298;0.222;0.205;0.169;0.125;0.057;0.150;0.165;0.164;0.155;0.141;0.149;0.120;0.164;0.107;0.086;0.198;0.081;0.042;0.046;0.023;0.029;0.034;0.032;0.037;0.063;0.073;0.061;0.036;0.035;0.032;0.035;0.080;0.055;0.081;0.174;0.073;0.073;0.038;0.075;0.076;0.040;0.052;0.065;0.072;0.068;0.069;0.096;0.135;0.189;0.214;0.106;0.152;0.167;0.266;0.308;0.226;0.204;0.247;0.144;0.122;0.275;0.281;0.307;0.333;0.358;0.253;0.193;0.123;0.059;0.058;0.146;0.217;0.054;0.167;0.049;0.040;0.099;0.088;0.378;0.405;0.330;0.455;0.587;0.327;0.276;0.388;0.389;0.296;0.257;0.269;0.480
31/08/2025 00:00;0.138;0.053;0.094;0.039;0.059;0.037;0.034;0.077;0.020;0.041;0.042;0.038;0.022;0.017;0.036;0.082;0.146;0.129;0.125;0.140;0.053;0.024;0.064;0.132;0.159;0.227;0.046;0.052;0.036;0.025;0.038;0.034;0.032;0.055;0.030;0.032;0.029;0.033;0.073;0.080;0.077;0.027;0.050;0.067;0.076;0.069;0.108;0.082;0.106;0.154;0.152;0.244;0.146;0.248;0.218;0.119;0.160;0.175;0.204;0.360;0.372;0.373;0.487;0.421;0.390;0.434;0.344;0.299;0.278;0.273;0.305;0.342;0.438;0.365;0.283;0.291;0.263;0.054;0.026;0.030;0.028;0.009;0.013;0.017;0.018;0.017;0.018;0.017;0.017;0.017;0.060;0.090;0.108;0.059;0.117;0.117
